meanRevs4,meanRevs6,meanRevs8,participant,condLabel,ptnt4,ptnt6,ptnt8,norm4,norm6,norm8,expName,expPara,time,dom,session,nRevs,mcSz,mcSf,mcBv,mcBsf,mcPeriGap,mcPeriFade,targSz,targSf,targOri1,targOri2,targXoff1,targXoff2,targYoff,targV,targTtot,targTpeak,trialT,fixCross,"Mask
Velocity",Mask/Target
-0.96625,-0.960833333,-0.939375,2,mcBv-0.01_tgT-0.66_tgEcc-28,-0.947,-0.964666667,-0.966625,0.98007762,1.003989592,1.029008649,mc2_tgT-mcBv2,cent,2017-02-23_1144,1,1,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,0.66,2,1,0,"Static mask
Center target"
-0.77875,-0.835833333,-0.814375,2,mcBv-0.01_tgT-1.0_tgEcc-100,-0.947,-0.964666667,-0.966625,1.216051364,1.154137587,1.186953185,mc2_tgT-mcBv2,peri,2017-02-23_1216,1,2,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1,2,1,0,"Static mask
Peripheral target"
-1.06375,-1.075833333,-1.100625,2,mcBv-0.01_tgT-1.0_tgEcc-28,-0.947,-0.964666667,-0.966625,0.890246769,0.896669249,0.878250994,mc2_tgT-mcBv2,cent,2017-02-23_1144,1,1,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1,2,1,0,"Static mask
Center target"
-0.73625,-0.724166667,-0.774375,2,mcBv-0.01_tgT-1.33_tgEcc-100,-0.947,-0.964666667,-0.966625,1.286247878,1.332105869,1.24826473,mc2_tgT-mcBv2,peri,2017-02-23_1216,1,2,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1.33,2,1,0,"Static mask
Peripheral target"
-1.04,-1.026666667,-1.0825,2,mcBv-0.01_tgT-1.33_tgEcc-28,-0.947,-0.964666667,-0.966625,0.910576923,0.93961039,0.89295612,mc2_tgT-mcBv2,cent,2017-02-23_1144,1,1,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1.33,2,1,0,"Static mask
Center target"
-0.86,-0.84,-0.82375,2,mcBv-0.01_tgT-1.66_tgEcc-100,-0.947,-0.964666667,-0.966625,1.101162791,1.148412698,1.173444613,mc2_tgT-mcBv2,peri,2017-02-23_1216,1,2,10,256,0.1,0.01,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,1.66,2,1,0,"Static mask
Peripheral target"
-1.03,-1.07,-1.115,2,mcBv-0.01_tgT-1.66_tgEcc-28,-0.947,-0.964666667,-0.966625,0.919417476,0.901557632,0.866928251,mc2_tgT-mcBv2,cent,2017-02-23_1144,1,1,10,256,0.1,0.01,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,1.66,2,1,0,"Static mask
Center target"
-1.28,-1.253333333,-1.19625,2,mcBv-9.6_tgT-0.33_tgEcc-100,-0.947,-0.964666667,-0.966625,0.73984375,0.769680851,0.808045977,mc2_tgT-mcBv2,peri,2017-02-23_1216,1,2,10,256,0.1,9.6,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,0.33,2,1,16,"Dynamic mask
Peripheral target"
-1.07,-1.08,-1.06,2,mcBv-9.6_tgT-0.33_tgEcc-28,-0.947,-0.964666667,-0.966625,0.885046729,0.893209877,0.911910377,mc2_tgT-mcBv2,cent,2017-02-23_1144,1,1,10,256,0.1,9.6,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,0.33,2,1,16,"Dynamic mask
Center target"
-1.02375,-1.0825,-1.018125,2,mcBv-9.6_tgT-0.66_tgEcc-100,-0.947,-0.964666667,-0.966625,0.925030525,0.891147036,0.94941682,mc2_tgT-mcBv2,peri,2017-02-23_1216,1,2,10,256,0.1,9.6,0.05,120,8,28,0.1,0,0,-100,100,0,0,0.66,0.66,2,1,16,"Dynamic mask
Peripheral target"
-0.97375,-0.999166667,-1.049375,2,mcBv-9.6_tgT-0.66_tgEcc-28,-0.947,-0.964666667,-0.966625,0.972528883,0.965471226,0.921143538,mc2_tgT-mcBv2,cent,2017-02-23_1144,1,1,10,256,0.1,9.6,0.05,112,16,28,0.1,0,0,-28,28,0,0,0.66,0.66,2,1,16,"Dynamic mask
Center target"
